,title,company,rating,search_city,location,salary,age,summary
645,"Social Science Consultant Researcher, Institute for Ethical...",Oxford Brookes University,4.2,Oxford,,"£31,866 a year",30+ days ago,"Validate and evaluate AI performance and evaluate the social/ economic value of different AI and other machine learning products, for example."
646,"Validation and Regulatory Affairs Consultant, Institute for...",Oxford Brookes University,4.2,Oxford,,"£31,866 a year",30+ days ago,"Evaluate the social / economic value of different AI and other machine learning products, for example.Our ambition is to create a world leading institute that…"
647,Software Developer/ Engineer Institute for Ethical Artificia...,Oxford Brookes University,4.2,Oxford,,"£35,845 a year",30+ days ago,"Validate and evaluate AI performance and evaluate the social/ economic value of different AI and other machine learning products, for example."
648,Product Support Engineer,Micro Focus,3.7,Oxford,,,29 days ago,"Our portfolio spans the following areas: DevOps | IT Operations| Cloud | Security | Info Governance | Big Data, Machine Learning, & Analytics."
649,Senior Software Engineer - Java,Micro Focus,3.7,Oxford,,,30+ days ago,"While GUI development skills are essential, the role requires the desire and aptitude to be able to interact with underlying technologies such as the compiler,…"
650,New Machine Learning Engineer!,Northpoint Recruitment,,Oxford,Oxford,"£60,000 a year",30+ days ago,**What the Machine Learning Researcher needs***.**What the Machine Learning Researcher will do***.**What the Machine Learning Researcher will get***.
651,Head of IT,Exscientia,,Oxford,Oxford,,28 days ago,Knowledge or interest in Machine Learning and AI.Who are we and what is the role?Exscientia offers an intellectually stimulating and fast paced work…
652,Administration Assistant (Sales Operations Team),Oodle Finance,,Oxford,Oxford,,4 days ago,"Administration Assistant for Sales Operations.If you're looking for a high energy job offering oodles of possibility, then look no further!"
653,Senior Machine Learning Researcher,Northpoint Recruitment,,Oxford,Oxford,"£100,000 a year",30+ days ago,**What the Senior Machine Learning Researcher needs***.**What the Senior Machine Learning Researcher will do***.+ Very good benefits package.
654,Research Associate on Interpretable and Explainable Deep Lea...,University of Oxford,4.3,Oxford,Oxford,"£32,817 - £40,322 a year",30+ days ago,The Artificial Intelligence and Machine Learning group at the Department of Computer Science has a vacancy for a Research Associate on “Interpretable and…
655,Data Scientist,Natter ai,,Oxford,Charlbury,,30+ days ago,"Strong background in statistics or econometrics: regression analysis, causal inference, univariate and multiple time series analysis, dynamic linear modelling…"
656,Data Analyst,ONI,,Oxford,Oxford,,30+ days ago,We are looking for an experienced Data Analyst who will support the team that develops and deploys leading edge data analysis tools and solutions to the users…
657,Recoveries Administration Assistant,Oodle Finance,,Oxford,Oxford,,30+ days ago,Our Recoveries team are looking for an Administration Assistant to help and support the wider team.You will be responsible for:Who Are We Looking For?
658,Scientific Software Developer,Evotec,,Oxford,Abingdon,,17 days ago,"The role offers a range of opportunities to develop scientific software in drug design and cheminformatics areas, using state-of-the art technologies including…"
659,Data Scientist / Software Developer,Tessella,,Oxford,Abingdon,,30+ days ago,"The ability to interpret complex data using a variety of analytical, statistical or machine learning techniques."
660,Data Scientist / Software Developer,Tessella Ltd,,Oxford,,"£25,000 - £35,000 a year",30+ days ago,"The ability to interpret complex data using a variety of analytical, statistical or machine learning techniques."
661,Research Software Engineer,UK Atomic Energy Authority,3.0,Oxford,,"£33,441 - £37,579 a year",30+ days ago,"Control systems and state of the art robotics applications involving control theory, computer vision, machine learning and other technologies."
662,Computer Vision Scientist,Rise Technical Recruitment Limited,4.1,Oxford,,"£60,000 - £80,000 a year",14 days ago,"You will also be involved in the Machine Learning aspect of the project and work closely with that specialist team, who predominantly use CNN."
663,AI Developer/ Engineer Institute for Ethical Artificial Inte...,Oxford Brookes University,4.2,Oxford,,"£35,845 a year",30+ days ago,"Evaluate the social/ economic value of different AI and other machine learning products, for example.Our ambition is to create a world leading institute that…"
664,"Social Science Consultant Researcher, Institute for Ethical...",Oxford Brookes University,4.2,Oxford,,"£31,866 a year",30+ days ago,"Validate and evaluate AI performance and evaluate the social/ economic value of different AI and other machine learning products, for example."
